status,local_id,local_brand,local_model,remote_brand,remote_model,category,detail_url
"unmatched_remote","","","","코웨이","CHPI-7400N_V2","정수기","https://rentre.kr/product/1522013565/%EC%95%84%EC%9D%B4%EC%BD%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chp-5730n","코웨이","CHP-5730N","코웨이","CHP-5730N","정수기","https://rentre.kr/product/1600006544/%EC%9B%8C%ED%84%B0%EC%8A%A4%ED%83%A0%EB%93%9C-%ED%94%8C%EB%9F%AC%EC%8A%A4-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0-(%EB%82%98%EB%85%B8%ED%8A%B8%EB%9E%A9%ED%95%84%ED%84%B0)"
"matched","cuckoo-cp-f603hw","쿠쿠","CP-F603HW","쿠쿠","CP-F603HW","정수기","https://rentre.kr/product/1522012572/%EB%82%B4%EC%B6%94%EB%9F%B4%EC%9B%8C%ED%84%B0-%EB%83%89%EC%98%A8-%EC%A0%95%EC%88%98%EA%B8%B0-(%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%98%95)"
"unmatched_remote","","","","쿠쿠","CP-ABS100GWT","정수기","https://rentre.kr/product/1600004397/%EC%8A%A4%ED%8C%80100-%EB%81%93%EC%9D%B8%EB%AC%BC-%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","lg-wu523as","LG","WU523AS","LG","WU523AS","정수기","https://rentre.kr/product/1600001915/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EB%B9%8C%ED%8A%B8%EC%9D%B8-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","쿠쿠","CP-AE502HW(S)","정수기","https://rentre.kr/product/1522012001/%EC%9D%B8%EC%8A%A4%ED%93%A8%EC%96%B4-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","쿠쿠","CP-AHSC100HEW","정수기","https://rentre.kr/product/1600001610/%EC%A0%9C%EB%A1%9C-100-%EC%8A%AC%EB%A6%BC-%EB%B0%94%EB%A6%AC%EC%8A%A4%ED%83%80-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","웰스","WQ652NWR","정수기","https://rentre.kr/product/1600007663/%EC%9B%B0%EC%8A%A4-%EC%8A%88%ED%8D%BC%EC%BF%A8%EB%A7%81-%EC%A7%81%EC%88%98-%EB%83%89%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","SK매직","WPUJAC104DWH","정수기","https://rentre.kr/product/1600007958/%EC%B4%88%EC%86%8C%ED%98%95-%EC%A7%81%EC%88%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0(26%EB%85%84-%EC%B6%9C%EC%8B%9C)"
"matched","coway-chpi-7420n","코웨이","CHPI-7420N","코웨이","CHPI-7420N","정수기","https://rentre.kr/product/1600005706/%EC%95%84%EC%9D%B4%EC%BD%98-%EB%A7%A5%EC%8A%A4-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chpi-7420n-2","코웨이","CHPI-7420N","코웨이","CHPI-7420N","정수기","https://rentre.kr/product/1600005706/%EC%95%84%EC%9D%B4%EC%BD%98-%EB%A7%A5%EC%8A%A4-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","쿠쿠","CP-TS100WS(S)","정수기","https://rentre.kr/product/5030101/%EC%9D%B8%EC%95%A4%EC%95%84%EC%9B%83-100%EB%8F%84-%EB%81%93%EC%9D%B8%EB%AC%BC-%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chpi-7521l","코웨이","CHPI-7521L","코웨이","CHPI-7521L","정수기","https://rentre.kr/product/1600003816/%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0-RO"
"matched","coway-chpi-7521l-2","코웨이","CHPI-7521L","코웨이","CHPI-7521L","정수기","https://rentre.kr/product/1600003816/%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0-RO"
"unmatched_remote","","","","쿠쿠","CP-U011B","정수기","https://rentre.kr/product/5060101/%EC%9D%B8%EC%8A%A4%ED%93%A8%EC%96%B4-%EC%A7%81%EC%88%98-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","웰스","WP610NWA","정수기","https://rentre.kr/product/1600003498/%EB%AF%B8%EB%AF%B8-%EB%AC%B4%EC%A0%84%EC%9B%90-%EC%A7%81%EC%88%98-%EC%A0%95%EC%88%98%EC%A0%84%EC%9A%A9-%EC%A0%95%EC%88%98%EA%B8%B0-(%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%98%95)"
"matched","chungho-wi-53c9600m","청호나이스","WI-53C9600M","청호나이스","WI-53C9600M","정수기","https://rentre.kr/product/4090101/%EC%98%B4%EB%8B%88%ED%94%8C%EB%9F%AC%EC%8A%A4-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","cuckoo-cp-ajs821sw","쿠쿠","CP-AJS821SW","쿠쿠","CP-AJS821SW","정수기","https://rentre.kr/product/1600007241/%EB%8C%80%EC%9A%A9%EB%9F%89-PLUS-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0-(%EC%8A%A4%ED%83%A0%EB%93%9C%ED%98%95)"
"unmatched_remote","","","","현대큐밍","HQP1830CW0","정수기","https://rentre.kr/product/1522012467/%EB%8D%94%ED%93%A8%EC%96%B4-%EB%B2%A0%EC%9D%B4%EC%A7%81-%EB%83%89%EC%98%A8-%EC%A0%95%EC%88%98%EA%B8%B0-(%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%98%95)"
"unmatched_remote","","","","코웨이","CP-7211N_V2","정수기","https://rentre.kr/product/1600007463/%EC%95%84%EC%9D%B4%EC%BD%982-%EB%83%89%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0-(26%EB%85%84-%EC%B6%9C%EC%8B%9C)"
"unmatched_remote","","","","LG","WD525ACB","정수기","https://rentre.kr/product/1522012371/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EC%83%81%ED%95%98%EC%A2%8C%EC%9A%B0-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","chungho-wp-30c9560bn","청호나이스","WP-30C9560BN","청호나이스","WP-30C9560BN","정수기","https://rentre.kr/product/1600008344/%EC%9E%90%EA%B0%80%EA%B4%80%EB%A6%AC-%EC%85%80%ED%94%84-%EB%83%89%EC%98%A8-%EC%A0%95%EC%88%98%EA%B8%B0-(%ED%99%94%EC%9D%B4%ED%8A%B8%2F%EC%8B%A4%EB%B2%84)"
